'Nr','Name','File'
0,'Árnessýsla','0.png'
1,'Austur-Barðastrandarsýsla','1.png'
2,'Austur-Húnavatnssýsla','2.png'
3,'Austur-Skaftafellssýsla','3.png'
4,'Borgarfjarðarsýsla','4.png'
5,'Dalasýsla','5.png'
6,'Eyjafjarðarsýsla','6.png'
7,'Gullbringusýsla','7.png'
8,'Kjósarsýsla','8.png'
9,'Mýrasýsla','9.png'
10,'Norður-Ísafjarðarsýsla','10.png'
11,'Norður-Múlasýsla','11.png'
12,'Norður-Þingeyjarsýsla','12.png'
13,'Rangárvallasýsla','13.png'
14,'Skagafjarðarsýsla','14.png'
15,'Snæfells- og Hnappadalssýsla','15.png'
16,'Strandasýsla','16.png'
17,'Suður-Múlasýsla','17.png'
18,'Suður-Þingeyjarsýsla','18.png'
19,'Vestur-Barðastrandarsýsla','19.png'
20,'Vestur-Húnavatnssýsla','20.png'
21,'Vestur-Ísafjarðarsýsla','21.png'
22,'Vestur-Skaftafellssýsla','22.png'
23,'Akranes','23.png'
24,'Akureyri','24.png'
25,'Bolungarvík','25.png'
26,'Dalvík','26.png'
27,'Eskifjörður','27.png'
29,'Grindavík','29.png'
30,'Hafnarfjörður','30.png'
31,'Húsavík','31.png'
32,'Ísafjörður','32.png'
33,'Keflavík','33.png'
34,'Kópavogur','34.png'
35,'Neskaupstaður','35.png'
36,'Njarðvík','36.png'
37,'Ólafsfjörður','37.png'
38,'Ólafsvík','38.png'
39,'Reykjavík','39.png'
40,'Sauðárkrókur','40.png'
41,'Selfoss','41.png'
42,'Seltjarnarnes','42.png'
43,'Seyðisfjörður','43.png'
44,'Siglufjörður','44.png'
45,'Vestmannaeyjar','45.png'
28,'Garðabær','28.png'
